drug_class_profile_v1_run_id	review_group_type	field_name	value_summary_type	group_patient_count	non_missing_count	missing_like_count	distinct_non_missing_count	value_rank	value_label	value_count	value_fraction	numeric_min	numeric_median	numeric_max	notes
20260415T065150Z	any_class_antimetabolite	histological_type	categorical_top_value	122	122	0	5	5	Metaplastic Carcinoma	2	0.0164				
20260415T065150Z	any_class_endocrine_serm	age_at_diagnosis	numeric_summary	252	252	0	57					26	51	90	
20260415T065150Z	any_class_endocrine_serm	er_status_by_ihc	categorical_top_value	252	227	25	2	1	Positive	218	0.9604				
20260415T065150Z	any_class_endocrine_serm	er_status_by_ihc	categorical_top_value	252	227	25	2	2	Negative	9	0.0396				
20260415T065150Z	any_class_endocrine_serm	pr_status_by_ihc	categorical_top_value	252	227	25	2	1	Positive	192	0.8458				
20260415T065150Z	any_class_endocrine_serm	pr_status_by_ihc	categorical_top_value	252	227	25	2	2	Negative	35	0.1542				
20260415T065150Z	any_class_endocrine_serm	her2_status_by_ihc	categorical_top_value	252	214	38	4	1	Negative	137	0.6402				
20260415T065150Z	any_class_endocrine_serm	her2_status_by_ihc	categorical_top_value	252	214	38	4	2	Equivocal	42	0.1963				
20260415T065150Z	any_class_endocrine_serm	her2_status_by_ihc	categorical_top_value	252	214	38	4	3	Positive	32	0.1495				
20260415T065150Z	any_class_endocrine_serm	her2_status_by_ihc	categorical_top_value	252	214	38	4	4	Indeterminate	3	0.0140				
20260415T065150Z	any_class_endocrine_serm	ajcc_pathologic_tumor_stage	categorical_top_value	252	249	3	11	1	Stage IIA	78	0.3133				
20260415T065150Z	any_class_endocrine_serm	ajcc_pathologic_tumor_stage	categorical_top_value	252	249	3	11	2	Stage IIB	74	0.2972				
20260415T065150Z	any_class_endocrine_serm	ajcc_pathologic_tumor_stage	categorical_top_value	252	249	3	11	3	Stage IIIA	39	0.1566				
20260415T065150Z	any_class_endocrine_serm	ajcc_pathologic_tumor_stage	categorical_top_value	252	249	3	11	4	Stage IIIC	20	0.0803				
20260415T065150Z	any_class_endocrine_serm	ajcc_pathologic_tumor_stage	categorical_top_value	252	249	3	11	5	Stage IA	18	0.0723				
20260415T065150Z	any_class_endocrine_serm	ajcc_pathologic_tumor_stage	categorical_top_value	252	249	3	11	6	Stage I	12	0.0482				
20260415T065150Z	any_class_endocrine_serm	ajcc_pathologic_tumor_stage	categorical_top_value	252	249	3	11	7	Stage IV	2	0.0080				
20260415T065150Z	any_class_endocrine_serm	ajcc_pathologic_tumor_stage	categorical_top_value	252	249	3	11	8	Stage IB	2	0.0080				
20260415T065150Z	any_class_endocrine_serm	ajcc_pathologic_tumor_stage	categorical_top_value	252	249	3	11	9	Stage IIIB	2	0.0080				
20260415T065150Z	any_class_endocrine_serm	ajcc_pathologic_tumor_stage	categorical_top_value	252	249	3	11	10	Stage X	1	0.0040				
20260415T065150Z	any_class_endocrine_serm	histological_type	categorical_top_value	252	252	0	5	1	Infiltrating Ductal Carcinoma	167	0.6627				
20260415T065150Z	any_class_endocrine_serm	histological_type	categorical_top_value	252	252	0	5	2	Infiltrating Lobular Carcinoma	58	0.2302				
20260415T065150Z	any_class_endocrine_serm	histological_type	categorical_top_value	252	252	0	5	3	Mixed Histology (please specify)	16	0.0635				
20260415T065150Z	any_class_endocrine_serm	histological_type	categorical_top_value	252	252	0	5	4	Other, specify	7	0.0278				
20260415T065150Z	any_class_endocrine_serm	histological_type	categorical_top_value	252	252	0	5	5	Mucinous Carcinoma	4	0.0159				
20260415T065150Z	any_class_endocrine_aromatase_inhibitor	age_at_diagnosis	numeric_summary	328	328	0	56					27	62	90	
20260415T065150Z	any_class_endocrine_aromatase_inhibitor	er_status_by_ihc	categorical_top_value	328	327	1	2	1	Positive	319	0.9755				
20260415T065150Z	any_class_endocrine_aromatase_inhibitor	er_status_by_ihc	categorical_top_value	328	327	1	2	2	Negative	8	0.0245				
20260415T065150Z	any_class_endocrine_aromatase_inhibitor	pr_status_by_ihc	categorical_top_value	328	327	1	2	1	Positive	272	0.8318				
20260415T065150Z	any_class_endocrine_aromatase_inhibitor	pr_status_by_ihc	categorical_top_value	328	327	1	2	2	Negative	55	0.1682				
20260415T065150Z	any_class_endocrine_aromatase_inhibitor	her2_status_by_ihc	categorical_top_value	328	301	27	4	1	Negative	175	0.5814				
20260415T065150Z	any_class_endocrine_aromatase_inhibitor	her2_status_by_ihc	categorical_top_value	328	301	27	4	2	Equivocal	87	0.2890				
20260415T065150Z	any_class_endocrine_aromatase_inhibitor	her2_status_by_ihc	categorical_top_value	328	301	27	4	3	Positive	35	0.1163				
20260415T065150Z	any_class_endocrine_aromatase_inhibitor	her2_status_by_ihc	categorical_top_value	328	301	27	4	4	Indeterminate	4	0.0133				
20260415T065150Z	any_class_endocrine_aromatase_inhibitor	ajcc_pathologic_tumor_stage	categorical_top_value	328	326	2	11	1	Stage IIA	112	0.3436				
20260415T065150Z	any_class_endocrine_aromatase_inhibitor	ajcc_pathologic_tumor_stage	categorical_top_value	328	326	2	11	2	Stage IIB	77	0.2362				
