treatment_groups_descriptive_v1_run_id	treatment_group_v1	field_name	value_summary_type	group_patient_count	non_missing_count	missing_like_count	distinct_non_missing_count	value_rank	value_label	value_count	value_fraction	numeric_min	numeric_median	numeric_max	notes
20260414T215230Z	mixed_multi_type	ajcc_pathologic_tumor_stage	categorical_top_value	355	351	4	12	3	Stage IIIA	69	0.1944				Showing the top 10 values out of 12 distinct non-missing values.
20260414T215230Z	mixed_multi_type	ajcc_pathologic_tumor_stage	categorical_top_value	355	351	4	12	4	Stage IIIC	31	0.0873				Showing the top 10 values out of 12 distinct non-missing values.
20260414T215230Z	mixed_multi_type	ajcc_pathologic_tumor_stage	categorical_top_value	355	351	4	12	5	Stage I	17	0.0479				Showing the top 10 values out of 12 distinct non-missing values.
20260414T215230Z	mixed_multi_type	ajcc_pathologic_tumor_stage	categorical_top_value	355	351	4	12	6	Stage IA	16	0.0451				Showing the top 10 values out of 12 distinct non-missing values.
20260414T215230Z	mixed_multi_type	ajcc_pathologic_tumor_stage	categorical_top_value	355	351	4	12	7	Stage IV	7	0.0197				Showing the top 10 values out of 12 distinct non-missing values.
20260414T215230Z	mixed_multi_type	ajcc_pathologic_tumor_stage	categorical_top_value	355	351	4	12	8	Stage IIIB	3	0.0085				Showing the top 10 values out of 12 distinct non-missing values.
20260414T215230Z	mixed_multi_type	ajcc_pathologic_tumor_stage	categorical_top_value	355	351	4	12	9	Stage IB	2	0.0056				Showing the top 10 values out of 12 distinct non-missing values.
20260414T215230Z	mixed_multi_type	ajcc_pathologic_tumor_stage	categorical_top_value	355	351	4	12	10	Stage II	1	0.0028				Showing the top 10 values out of 12 distinct non-missing values.
20260414T215230Z	mixed_multi_type	histological_type	categorical_top_value	355	355	0	6	1	Infiltrating Ductal Carcinoma	245	0.6901				Showing all distinct non-missing values for this field within the provisional group.
20260414T215230Z	mixed_multi_type	histological_type	categorical_top_value	355	355	0	6	2	Infiltrating Lobular Carcinoma	80	0.2254				Showing all distinct non-missing values for this field within the provisional group.
20260414T215230Z	mixed_multi_type	histological_type	categorical_top_value	355	355	0	6	3	Mixed Histology (please specify)	15	0.0423				Showing all distinct non-missing values for this field within the provisional group.
20260414T215230Z	mixed_multi_type	histological_type	categorical_top_value	355	355	0	6	4	Other, specify	10	0.0282				Showing all distinct non-missing values for this field within the provisional group.
20260414T215230Z	mixed_multi_type	histological_type	categorical_top_value	355	355	0	6	5	Mucinous Carcinoma	3	0.0085				Showing all distinct non-missing values for this field within the provisional group.
